"","","","","","beta_1","beta_2","alpha_1","","","",""
"190","cds-hrp","1","30","32",NA,NA,NA,"0.576716228904069","3.63031726673085","125.160628505216","52.0186505883645"
"191","cds-hnc-w","1","30","32",NA,NA,NA,"0.421755587424578","-0.477353094680549","125.160628505216","71.1312449544367"
"192","cds-hrp-w","1","30","32",NA,NA,NA,"0.576716228904069","3.63031726673085","125.160628505216","52.0186505883645"
"193","mmds-2","1","30","33","-0.160410523293583","-2.69282261347184","-0.0848818424137501","4.20274264693836","-2.40548529387673","125.160628505216","143.894513353631"
"194","mmds-1","1","30","33","-0.270595036596935",NA,NA,"3.85259175475055","-5.7051835095011","125.160628505216","44.7078898821996"
"195","cds-hnc","1","30","33",NA,NA,NA,"0.671040703917737","-5.7051835095011","125.160628505216","44.7066769941838"
"196","cds-hrp","1","30","33",NA,NA,NA,"0.858697241704422","-5.34781279728117","125.160628505216","34.9366441895787"
"197","cds-hnc-w","1","30","33",NA,NA,NA,"0.671040703917737","-5.7051835095011","125.160628505216","44.7066769941838"
"198","cds-hrp-w","1","30","33",NA,NA,NA,"0.858697241704422","-5.34781279728117","125.160628505216","34.9366441895787"
"199","mmds-2","1","30","34","-0.713580415606924","-1.72817629055349","-0.0635486771561032","3.37205530066527","-0.744110601330545","125.160628505216","179.996520616059"
"200","mmds-1","1","30","34","-0.945811047834757",NA,NA,"2.4446603907119","-2.88932078142381","125.160628505216","103.201222966067"
"201","cds-hnc","1","30","34",NA,NA,NA,"0.290696390851966","-2.88932078142323","125.160628505216","103.200455678437"
"202","cds-hrp","1","30","34",NA,NA,NA,"0.219780190702438","-2.98297794856727","125.160628505216","136.500018059486"
"203","cds-hnc-w","1","30","34",NA,NA,NA,"0.290696390851966","-2.88932078142323","125.160628505216","103.200455678437"
"204","cds-hrp-w","1","30","34",NA,NA,NA,"0.219780190702438","-2.98297794856727","125.160628505216","136.500018059486"
"205","mmds-2","1","30","35","-0.645101110980116","-2.4106573814899","-0.134264936948798","1.50336943917556","2.99326112164887","125.160628505216","231.028336953097"
"206","mmds-1","1","30","35","-0.757828376294406",NA,NA,"0.536748797942532","0.926502404114935","125.160628505216","76.0995245345616"
"207","cds-hnc","1","30","35",NA,NA,NA,"0.394222202032164","0.926502404115067","125.160628505216","76.0992147204138"
"208","cds-hrp","1","30","35",NA,NA,NA,"0.163368090022532","2.23715727049864","125.160628505216","183.634392713181"
"209","cds-hnc-w","1","30","35",NA,NA,NA,"0.394222202032164","0.926502404115067","125.160628505216","76.0992147204138"
"210","cds-hrp-w","1","30","35",NA,NA,NA,"0.163368090022532","2.23715727049864","125.160628505216","183.634392713181"
"211","mmds-2","1","30","36","0.533529931463501","-1.4687737498027","-0.203356181909078","1.7494904681366","2.50101906372681","125.160628505216","103.879014186477"
"212","mmds-1","1","30","36","-0.55725388615005",NA,NA,"0.724095915572504","0.551808168854991","125.160628505216","58.454167359925"
"213","cds-hnc","1","30","36",NA,NA,NA,"0.513225858467496","0.551808168855011","125.160628505216","58.4537967155059"
"214","cds-hrp","1","30","36",NA,NA,NA,"0.917229381997737","2.45227930466521","125.160628505216","32.7071947201033"
"215","cds-hnc-w","1","30","36",NA,NA,NA,"0.513225858467496","0.551808168855011","125.160628505216","58.4537967155059"
"216","cds-hrp-w","1","30","36",NA,NA,NA,"0.917229381997737","2.45227930466521","125.160628505216","32.7071947201033"
"217","mmds-2","1","30","37","5.36019638031655","-2.52447677367607","-0.350366131621203","5.79960960848111","-5.59921921696223","125.160628505216","167.303745509819"
"218","mmds-1","1","30","37","5.90040166442172",NA,NA,"4.66243067597629","-7.32486135195258","125.160628505216","30.0000562393382"
"219","cds-hnc","1","30","37",NA,NA,NA,"44.5730770947265","-7.32486849374597","125.160628505216","0.673052029507502"
"220","cds-hrp","1","30","37",NA,NA,NA,"0.998179379229734","-5.32486849463749","125.160628505216","30.05471824428"
"221","cds-hnc-w","1","30","37",NA,NA,NA,"44.5730770947265","-7.32486849374597","125.160628505216","0.673052029507502"
"222","cds-hrp-w","1","30","37",NA,NA,NA,"0.998179379229734","-5.32486849463749","125.160628505216","30.05471824428"
"223","mmds-2","1","30","38","3.91596903117225","-1.35007636464108","-0.157488302721162","3.22743452914796","-0.454869058295928","125.160628505216","86.6008028409607"
"224","mmds-1","1","30","38","-0.388765484130409",NA,NA,"1.99953716125931","-1.99907432251863","125.160628505216","49.2235115757966"
"225","cds-hnc","1","30","38",NA,NA,NA,"0.609446826382586","-1.99907432251817","125.160628505216","49.2249671362916"
"226","cds-hrp","1","30","38",NA,NA,NA,"0.709846144740297","2.66373270528997","125.160628505216","42.2626793457838"
"227","cds-hnc-w","1","30","38",NA,NA,NA,"0.609446826382586","-1.99907432251817","125.160628505216","49.2249671362916"
"228","cds-hrp-w","1","30","38",NA,NA,NA,"0.709846144740297","2.66373270528997","125.160628505216","42.2626793457838"
