"" "" "" "" "beta_1" "beta_2" "alpha_1" "" "" "" ""
"4" "cds-hrp" "3" "120" "46" NA NA NA "0.705353236247675" "-0.596526960307874" "551.406297689244" "170.127524527106"
"1" "mmds-2" "3" "120" "53" "-0.0546804984176819" "-1.63116177339212" "-0.1624738844157" "6.51842233406294" "-7.03684466812588" "551.406297689244" "491.608047160526"
"2" "mmds-1" "3" "120" "53" "-0.614234969923827" NA NA "1.96871863411934" "-1.93743726823867" "551.406297689244" "250.326010983713"
"3" "cds-hnc" "3" "120" "53" NA NA NA "0.479374873694635" "-1.93743726823866" "551.406297689244" "250.326011196909"
"4" "cds-hrp" "3" "120" "53" NA NA NA "0.606403850468255" "7.03226657463621" "551.406297689244" "197.887925525766"
"1" "mmds-2" "3" "120" "43" "-0.3710768785628" "-1.81318223131235" "-0.162016623123164" "3.85946395612798" "-1.71892791225597" "551.406297689244" "629.188584228734"
"2" "mmds-1" "3" "120" "43" "-0.713398621443696" NA NA "-1.60957122749605" "5.21914245499211" "551.406297689244" "285.491722400028"
"3" "cds-hnc" "3" "120" "43" NA NA NA "0.420327424771199" "5.21914245499215" "551.406297689244" "285.491721282095"
"4" "cds-hrp" "3" "120" "43" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "120" "52" "3.64639567897587" "-1.25818775589865" "-0.382011854414291" "6.13341379129274" "-6.26682758258548" "551.406297689244" "408.487064525848"
"2" "mmds-1" "3" "120" "52" "-0.689108661301949" NA NA "2.5855297173167" "-3.17105943463341" "551.406297689244" "276.032096808716"
"3" "cds-hnc" "3" "120" "52" NA NA NA "0.434732058709255" "-3.17105943463333" "551.406297689244" "276.03209286264"
"4" "cds-hrp" "3" "120" "52" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "120" "38" "0.291170437475533" "-1.80199638933932" "-0.475357348585469" "2.51965779043402" "0.960684419131967" "551.406297689244" "746.213125624418"
"2" "mmds-1" "3" "120" "38" "-0.660122212833458" NA NA "-9.08666459933465" "20.1733291986693" "551.406297689244" "265.489828777697"
"3" "cds-hnc" "3" "120" "38" NA NA NA "0.451994722065439" "20.1733291986693" "551.406297689244" "265.489825747626"
"4" "cds-hrp" "3" "120" "38" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "120" "36" "0.454119189940145" "-1.32481135985152" "-0.400610712607299" "4.13790216232908" "-2.27580432465816" "551.406297689244" "465.941519568025"
"2" "mmds-1" "3" "120" "36" "-0.761303547445617" NA NA "0.235723733997803" "1.52855253200439" "551.406297689244" "305.969735083535"
"3" "cds-hnc" "3" "120" "36" NA NA NA "0.392195641497001" "1.52855253200444" "551.406297689244" "305.969743931786"
"4" "cds-hrp" "3" "120" "36" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "120" "49" "4.69390130143408" "-1.55108718785811" "-0.351990212256612" "8.25767939786198" "-10.515358795724" "551.406297689244" "494.072669304372"
"2" "mmds-1" "3" "120" "49" "-0.484064743703288" NA NA "-1.70048004792473" "5.40096009584945" "551.406297689244" "215.841503589453"
"3" "cds-hnc" "3" "120" "49" NA NA NA "0.55596350767605" "5.40096009584943" "551.406297689244" "215.841504600913"
"4" "cds-hrp" "3" "120" "49" NA NA NA "0.69471791942367" "14.4960079412352" "551.406297689244" "172.731977461515"
"1" "mmds-2" "3" "120" "42" "4.60676417354713" "-1.51079855102653" "-0.212976731476147" "8.14939602911152" "-10.298792058223" "551.406297689244" "404.325974556064"
"2" "mmds-1" "3" "120" "42" "-0.42037440228121" NA NA "2.45202185694608" "-2.90404371389217" "551.406297689244" "202.685579103055"
"3" "cds-hnc" "3" "120" "42" NA NA NA "0.592050013927088" "-2.90404371389214" "551.406297689244" "202.685579219965"
"4" "cds-hrp" "3" "120" "42" NA NA NA "0.692412658311444" "3.8632004085635" "551.406297689244" "173.30705694006"
"1" "mmds-2" "3" "120" "58" "6.22647634634273" "-1.25490674511836" "-0.465600090858912" "6.35996057136883" "-6.71992114273767" "551.406297689244" "438.834552391234"
"2" "mmds-1" "3" "120" "58" "-0.75554401642304" NA NA "2.71395843375625" "-3.42791686751251" "551.406297689244" "303.372596432286"
"3" "cds-hnc" "3" "120" "58" NA NA NA "0.395553159274182" "-3.42791686751186" "551.406297689244" "303.372624352674"
"4" "cds-hrp" "3" "120" "58" NA NA NA "0.211386059153616" "-5.09307335219284" "551.406297689244" "567.681712221123"
"1" "mmds-2" "3" "120" "21" "4.07982088757279" "-1.70190994897918" "-0.26512950263627" "6.99521677391048" "-7.99043354782095" "551.406297689244" "474.341176485316"
"2" "mmds-1" "3" "120" "21" "-0.392528234909247" NA NA "0.841783097467421" "0.316433805065158" "551.406297689244" "197.559867691512"
"3" "cds-hnc" "3" "120" "21" NA NA NA "0.607410808533181" "0.316433805065197" "551.406297689244" "197.559869390182"
"4" "cds-hrp" "3" "120" "21" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "120" "55" "-0.131056719322289" "-1.54558849917271" "-0.124585831774149" "2.79707313117556" "0.405853737648871" "551.406297689244" "464.038196848311"
"2" "mmds-1" "3" "120" "55" "-0.654706812038707" NA NA "-0.953574864053034" "3.90714972810607" "551.406297689244" "263.605870398244"
"3" "cds-hnc" "3" "120" "55" NA NA NA "0.455225063194365" "3.9071497281061" "551.406297689244" "263.605872572012"
"4" "cds-hrp" "3" "120" "55" NA NA NA NA NA NA NA
"1" "mmds-2" "3" "120" "64" "4.28317450346234" "-1.48571280714348" "-0.400974459978442" "4.30070225731227" "-2.60140451462455" "551.406297689244" "502.281662276313"
"2" "mmds-1" "3" "120" "64" "-0.632430737126178" NA NA "-3.49254745012854" "8.98509490025709" "551.406297689244" "256.126125495171"
"3" "cds-hnc" "3" "120" "64" NA NA NA "0.468519220525066" "8.98509490025795" "551.406297689244" "256.126098445902"
"4" "cds-hrp" "3" "120" "64" NA NA NA "0.628014679368297" "18.7661726494186" "551.406297689244" "191.078336131736"
"1" "mmds-2" "3" "120" "70" "-0.277951895169284" "-2.13630828611492" "-0.09684173112717" "4.84194585517804" "-3.68389171035607" "551.406297689244" "591.740076859047"
