"","","","","","","","","1","","",""
"145","cds-hnc-w","1","30","73",NA,NA,NA,"0.415922637164288","1.35551823446508","125.160628505216","72.1287982893561"
"146","cds-hrp-w","1","30","73",NA,NA,NA,NA,NA,NA,NA
"147","cds-hnc-w","1","30","74",NA,NA,NA,"0.272210746237661","-8.98637549184207","125.160628505216","110.208727666496"
"148","cds-hrp-w","1","30","74",NA,NA,NA,"0.291787080331495","-5.97736961154167","125.160628505216","102.814696133624"
"149","cds-hnc-w","1","30","75",NA,NA,NA,"0.272431125870234","1.05604047033118","125.160628505216","110.119575742934"
"150","cds-hrp-w","1","30","75",NA,NA,NA,"0.455141487698811","13.5552339408273","125.160628505216","65.9135693203439"
"151","cds-hnc-w","1","30","76",NA,NA,NA,"0.639291455731206","-1.4220520231036","125.160628505216","46.9269528492082"
"152","cds-hrp-w","1","30","76",NA,NA,NA,"0.999999999986202","2.89051032942886","125.160628505216","30.0000000004139"
"153","cds-hnc-w","1","30","77",NA,NA,NA,"0.756910079419802","-4.05547263387251","125.160628505216","39.6348269308239"
"154","cds-hrp-w","1","30","77",NA,NA,NA,"0.857115167910177","-5.14683238341178","125.160628505216","35.0011306801934"
"155","cds-hnc-w","1","30","78",NA,NA,NA,"0.40187103883117","4.39122631672077","125.160628505216","74.6508135725682"
"156","cds-hrp-w","1","30","78",NA,NA,NA,"0.655223917779937","7.65970467320205","125.160628505216","45.7858743948901"
"157","cds-hnc-w","1","30","79",NA,NA,NA,"0.76047545432042","-2.59354456737028","125.160628505216","39.4490050001795"
"158","cds-hrp-w","1","30","79",NA,NA,NA,"0.999999999999607","0.226556137211892","125.160628505216","30.0000000000118"
"159","cds-hnc-w","1","30","80",NA,NA,NA,"0.690802559552047","-4.90914356972855","125.160628505216","43.4277487614603"
"160","cds-hrp-w","1","30","80",NA,NA,NA,"1","-1.36603914116605","125.160628505216","30"
"161","cds-hnc-w","1","30","81",NA,NA,NA,"0.342245478635784","5.88354412202492","125.160628505216","87.656380793056"
"162","cds-hrp-w","1","30","81",NA,NA,NA,"0.528127987333786","11.7478341616154","125.160628505216","56.8044124142194"
"163","cds-hnc-w","1","30","82",NA,NA,NA,"0.356352936373356","-1.02797884821107","125.160628505216","84.1862012007348"
"164","cds-hrp-w","1","30","82",NA,NA,NA,"0.310145201366252","-0.171500213437184","125.160628505216","96.7288865597273"
"165","cds-hnc-w","1","30","83",NA,NA,NA,"0.370303190557054","-2.19624188411217","125.160628505216","81.0146948906122"
"166","cds-hrp-w","1","30","83",NA,NA,NA,"0.406862694550536","0.372972147934801","125.160628505216","73.7349489196625"
"167","cds-hnc-w","1","30","84",NA,NA,NA,"0.844772999926535","-3.46466251214056","125.160628505216","35.512498626979"
"168","cds-hrp-w","1","30","84",NA,NA,NA,"0.999999999989495","-1.16381312299339","125.160628505216","30.0000000003152"
"169","cds-hnc-w","1","30","85",NA,NA,NA,"0.387544599140809","3.30664260049067","125.160628505216","77.4104453178044"
"170","cds-hrp-w","1","30","85",NA,NA,NA,"0.0793600200215123","4.88795334111297","125.160628505216","378.024098177745"
"171","cds-hnc-w","1","30","86",NA,NA,NA,"0.399795407715803","1.18893226741529","125.160628505216","75.0383806842666"
"172","cds-hrp-w","1","30","86",NA,NA,NA,NA,NA,NA,NA
"173","cds-hnc-w","1","30","87",NA,NA,NA,"0.525488399261833","-2.48164652211912","125.160628505216","57.0897474466454"
"174","cds-hrp-w","1","30","87",NA,NA,NA,"0.775932527005464","-4.13517141906928","125.160628505216","38.6631555655725"
"175","cds-hnc-w","1","30","88",NA,NA,NA,"0.412016575108878","-2.09981178665247","125.160628505216","72.8126046678397"
"176","cds-hrp-w","1","30","88",NA,NA,NA,NA,NA,NA,NA
"177","cds-hnc-w","1","30","89",NA,NA,NA,"0.521942037755698","-2.87908360725561","125.160628505216","57.4776466156993"
"178","cds-hrp-w","1","30","89",NA,NA,NA,NA,NA,NA,NA
"179","cds-hnc-w","1","30","90",NA,NA,NA,"0.402640862090837","-2.05180559270894","125.160628505216","74.5080860502228"
"180","cds-hrp-w","1","30","90",NA,NA,NA,"0.68233962558728","1.23285429193891","125.160628505216","43.9663752111413"
"181","cds-hnc-w","1","30","91",NA,NA,NA,"0.390991707413371","-5.05720409719536","125.160628505216","76.7279700085374"
"182","cds-hrp-w","1","30","91",NA,NA,NA,"0.570988235695849","-4.00027072141474","125.160628505216","52.5404870442554"
