"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"976","2","60","126","27.6034908560844","-49.2069817121689","0.206988520362144","289.871147902429","233.843094975339","2"
"977","cds-hnc","2","60","126",NA,NA,NA,"0.544875348285615","-17.7590429022006"
"978","cds-hrp","2","60","126",NA,NA,NA,"0.122083076602873","-49.5427249738338"
"979","2","60","127","21.7584496419762","-37.5168992839524","0.328122519393736","182.858525257153","233.843094975339","2"
"980","cds-hnc","2","60","127",NA,NA,NA,"0.477914997410907","-30.8969843091409"
"981","cds-hrp","2","60","127",NA,NA,NA,"0.364926826050782","-37.788028872132"
"982","2","60","128","20.8570008895242","-35.7140017790484","0.213325377533366","281.260488994636","233.843094975339","2"
"983","cds-hnc","2","60","128",NA,NA,NA,"0.476412396692373","-31.1905999056294"
"984","cds-hrp","2","60","128",NA,NA,NA,"0.566035719587979","-19.9783248959207"
"985","2","60","129","18.1568958511737","-30.3137917023475","0.252242757119707","237.866096474381","233.843094975339","2"
"986","cds-hnc","2","60","129",NA,NA,NA,"0.538399501747507","-20.6875979484683"
"987","cds-hrp","2","60","129",NA,NA,NA,"0.2470978143847","-29.4696982600314"
"988","2","60","130","14.8120455213172","-23.6240910426343","0.344519282874829","174.155709077681","233.843094975339","2"
"989","cds-hnc","2","60","130",NA,NA,NA,"0.57024517542084","-8.96161430539718"
"990","cds-hrp","2","60","130",NA,NA,NA,"0.311371269061098","-22.8152854094361"
"991","2","60","131","14.8891088896484","-23.7782177792968","0.373394093179101","160.688133786896","233.843094975339","2"
"992","cds-hnc","2","60","131",NA,NA,NA,"0.559923248049029","-17.7369258895358"
"993","cds-hrp","2","60","131",NA,NA,NA,"0.302641450622713","-26.0166447650567"
"994","2","60","132","18.9334255098048","-31.8668510196096","0.266456030358461","225.177864878053","233.843094975339","2"
"995","cds-hnc","2","60","132",NA,NA,NA,NA,NA
"996","cds-hrp","2","60","132",NA,NA,NA,"0.317845020397197","-25.5771013465827"
"997","2","60","133","15.4656833049351","-24.9313666098701","0.255816906834718","234.542746773049","233.843094975339","2"
"998","cds-hnc","2","60","133",NA,NA,NA,"0.520351578019824","-23.4225780769507"
"999","cds-hrp","2","60","133",NA,NA,NA,"0.296518312571706","-26.0484078881006"
"1000","2","60","134","23.1081654650797","-40.2163309301594","0.257548264871384","232.966042423012","233.843094975339","2"
"1001","cds-hnc","2","60","134",NA,NA,NA,"0.467588960971779","-32.9570296820538"
"1002","cds-hrp","2","60","134",NA,NA,NA,"0.298196289359156","-42.2944929893341"
"1003","2","60","135","14.5496142150021","-23.0992284300043","0.40322363815028","148.800800159534","233.843094975339","2"
