"","","","","","","","1","","",""
"195","cds-hnc-w","1","30","39","ll","-3.18248262353574","0.666666676252325","44.9999993529681","59.4346982654428","mt"
"196","mmds-MS","1","30","40","3.59426405255891","-5.18852810511782","0.606532848927819","49.4614595945325","59.4346982654428","1"
"197","cds-hnc","1","30","40","ll","-5.18852810511779","0.606532848164897","49.4614596567472","59.4346982654428","mt"
"198","cds-hnc","1","30","40","ll","-1.49935064918327","0.57392752763342","52.2714080708142","59.4346982654428","mt"
"199","cds-hnc-w","1","30","40","ll","-5.18852810511779","0.606532848164897","49.4614596567472","59.4346982654428","mt"
"200","cds-hnc-w","1","30","40","ll","-2.29085949032159","0.406083927251523","73.8763540902677","59.4346982654428","mt"
"201","mmds-MS","1","30","41","1.69558104680258","-1.39116209360515","0.703739259752869","42.6294250096763","59.4346982654428","1"
"202","cds-hnc","1","30","41","ll","-1.39116209360513","0.703739255415027","42.6294252724436","59.4346982654428","mt"
"203","cds-hnc","1","30","41","ll","-2.58125158826195","0.822796155356879","36.4610357069398","59.4346982654428","mt"
"204","cds-hnc-w","1","30","41","ll","-1.39116209360513","0.703739255415027","42.6294252724436","59.4346982654428","mt"
"205","cds-hnc-w","1","30","41","ll","-2.58125158826195","0.822796155356879","36.4610357069398","59.4346982654428","mt"
"206","mmds-MS","1","30","42","3.67433607877864","-1.34867215755728","0.241720081305621","124.110499375802","59.4346982654428","2"
"207","cds-hnc","1","30","42","ll","2.5426846470948","0.79025480673243","37.9624391328221","59.4346982654428","mt"
"208","cds-hnc","1","30","42","ll","-0.810258824674193","0.88404822814729","33.9348002120556","59.4346982654428","mt"
"209","cds-hnc-w","1","30","42","ll","3.74622079887609","0.759234158719163","39.513501408591","59.4346982654428","mt"
"210","cds-hnc-w","1","30","42","ll","-0.810258824674193","0.88404822814729","33.9348002120556","59.4346982654428","mt"
"211","mmds-MS","1","30","43","2.42324605636676","-2.84649211273352","0.659905592095927","45.4610483064963","59.4346982654428","1"
"212","cds-hnc","1","30","43","ll","-2.84649211273352","0.659905588783985","45.4610485346568","59.4346982654428","mt"
"213","cds-hnc","1","30","43","ll","-2.76076174233387","0.449935084809701","66.6762851194154","59.4346982654428","mt"
"214","cds-hnc-w","1","30","43","ll","-2.84649211273352","0.659905588783985","45.4610485346568","59.4346982654428","mt"
"215","cds-hnc-w","1","30","43","ll","-2.76076174233387","0.449935084809701","66.6762851194154","59.4346982654428","mt"
"216","mmds-MS","1","30","44","5.13154215510621","-4.26308431021243","0.217137815133041","138.161102807537","59.4346982654428","2"
"217","cds-hnc","1","30","44","ll","0.540400103165358","0.701248272460606","42.7808540543468","59.4346982654428","mt"
"218","cds-hrp","1","30","44",NA,NA,NA,NA,NA,NA
"219","cds-hnc-w","1","30","44",NA,NA,NA,NA,NA,NA
"220","cds-hnc-w","1","30","44","ll","-1.49628576172225","0.38136025037308","78.6657759183119","59.4346982654428","mt"
"221","mmds-MS","1","30","45","11.7165407573377","-21.4330815146754","0.415851166380214","72.1411947960509","59.4346982654428","1"
"222","cds-hnc","1","30","45","ll","-21.4330815146754","0.415851165322992","72.1411949794561","59.4346982654428","mt"
"223","cds-hnc","1","30","45","ll","-19.6945322509645","0.579349746018635","51.7821923737152","59.4346982654428","mt"
"224","cds-hnc-w","1","30","45","ll","-21.4330815146754","0.415851165322992","72.1411949794561","59.4346982654428","mt"
"225","cds-hrp-w","1","30","45",NA,NA,NA,NA,NA,NA
"226","mmds-MS","1","30","46","4.97732796074091","-7.95465592148182","0.558598135503046","53.7058720630771","59.4346982654428","1"
"227","cds-hnc","1","30","46","ll","-7.95465592148182","0.558598131379033","53.7058724595763","59.4346982654428","mt"
"228","cds-hnc","1","30","46","ll","-6.17439854795775","0.69674560982612","43.0573218932615","59.4346982654428","mt"
"229","cds-hnc-w","1","30","46","ll","-7.95465592148182","0.558598131379033","53.7058724595763","59.4346982654428","mt"
"230","cds-hnc-w","1","30","46","ll","-6.17439854795775","0.69674560982612","43.0573218932615","59.4346982654428","mt"
"231","mmds-MS","1","30","47","5.89016236261565","-5.78032472523129","0.395762616828283","75.8030160615617","59.4346982654428","2"
"232","cds-hnc","1","30","47","ll","-1.28038002409531","0.648618146385492","46.2521749771863","59.4346982654428","mt"
"233","cds-hnc","1","30","47","ll","-5.63863695963228","0.395906909402317","75.7753888288782","59.4346982654428","mt"
"234","cds-hnc-w","1","30","47",NA,NA,NA,NA,NA,NA
"235","cds-hnc-w","1","30","47","ll","-5.63863695963228","0.395906909402317","75.7753888288782","59.4346982654428","mt"
"236","mmds-MS","1","30","48","1.53305306497453","-1.06610612994906","0.715328576397664","41.9387691053495","59.4346982654428","1"
"237","cds-hnc","1","30","48","ll","-1.06610612994905","0.715328574468317","41.9387692184646","59.4346982654428","mt"
"238","cds-hrp","1","30","48",NA,NA,NA,NA,NA,NA
"239","cds-hnc-w","1","30","48","ll","-1.06610612994905","0.715328574468317","41.9387692184646","59.4346982654428","mt"
"240","cds-hrp-w","1","30","48",NA,NA,NA,NA,NA,NA
"241","mmds-MS","1","30","49","4.85181760345126","-3.70363520690252","0.319278098000741","93.9619729253411","59.4346982654428","2"
"242","cds-hnc","1","30","49","ll","-2.07105481176548","0.681847089800801","43.9981345506137","59.4346982654428","mt"
"243","cds-hnc","1","30","49","ll","-3.72302363938513","0.391879863363722","76.5540738493","59.4346982654428","mt"
"244","cds-hnc-w","1","30","49","ll","-2.07105481176548","0.681847089800801","43.9981345506137","59.4346982654428","mt"
"245","cds-hnc-w","1","30","49","ll","-3.72302363938513","0.391879863363722","76.5540738493","59.4346982654428","mt"
"246","mmds-MS","1","30","50","11.4352167977104","-16.8704335954208","0.0583921597203842","513.767604138253","59.4346982654428","2"
"247","cds-hnc","1","30","50","ll","-15.4952199102823","0.467425526858939","64.1813471369386","59.4346982654428","mt"
"248","cds-hnc","1","30","50","ll","-13.3606401054476","0.440597427242937","68.0893671752164","59.4346982654428","mt"
"249","cds-hnc-w","1","30","50","ll","-15.4952199102823","0.467425526858939","64.1813471369386","59.4346982654428","mt"
"250","cds-hnc-w","1","30","50","ll","-13.3606401054476","0.440597427242937","68.0893671752164","59.4346982654428","mt"
"251","mmds-MS","1","30","51","1.39491053116147","-0.789821062322936","0.725878964956505","41.3292042452251","59.4346982654428","1"
"252","cds-hnc","1","30","51","ll","-0.789821062322618","0.72587903426559","41.32920029899","59.4346982654428","mt"
"253","cds-hnc","1","30","51","ll","-0.985779131103986","0.837763977994578","35.8096084195615","59.4346982654428","mt"
"254","cds-hnc-w","1","30","51","ll","-0.789821062322618","0.72587903426559","41.32920029899","59.4346982654428","mt"
"255","cds-hnc-w","1","30","51","ll","-0.985779131103986","0.837763977994578","35.8096084195615","59.4346982654428","mt"
