"","","","","beta_1","beta_2","alpha_1","","","",""
"75",2,30,75,-0.0240216333707532,-2.82897912725406,0.079495426156996,2.30315834172310,1.39368331655379,83.4645751520754,58.4022943300631
"76",2,30,76,-3.09648275653819,-0.866215222530913,0.0832614316913766,7.50676310546783,-9.01352621093566,86.4210512478084,58.4022943300631
"77",2,30,77,-0.00957936884561271,-0.0111093262365597,-0.810496385079049,0.324310239858692,5.35137952028262,35.1758173061867,58.4022943300631
"78",2,30,78,-0.604623187668598,-2.21980134927792,0.0818758965615375,7.69649905251332,-9.39299810502664,93.2303195922523,58.4022943300631
"79",2,30,79,-1.09229296810479,4.04042334402588,0.195357921688801,0.621482829237095,4.75703434152581,40.2523927252959,58.4022943300631
"80",2,30,80,5.55267840158696,-2.31118513634876,-0.282763809622083,5.83076749076383,-5.66153498152766,102.289135335644,58.4022943300631
"81",2,30,81,7.10197546621516,-1.24676840530954,0.199857358815088,1.30730279407611,3.38539441184778,46.693024785485,58.4022943300631
"82",2,30,82,3.61585199571584,-1.35588357752530,-0.238787685086913,4.84060360436263,-3.68120720872525,64.4765115254114,58.4022943300631
"83",2,30,83,-0.813012503512158,-6.33713215954486,-0.817284062992675,9.13061193172414,-12.2612238634483,864.536636371413,58.4022943300631
"84",2,30,84,-2.29008317288572,-0.373525038746818,-6.19216640692122,1.26504102459090,3.46991795081821,40.7341572803633,58.4022943300631
"85",2,30,85,-0.478124670286414,-3.75532233742326,-0.277261351935239,6.32175850696903,-6.64351701393806,188.662970641348,58.4022943300631
"86",2,30,86,-0.584702481679057,-4.63526961372424,-0.275320649076765,4.96882617119684,-3.93765234239367,219.588830083735,58.4022943300631
"87",2,30,87,-0.149974423023693,-2.73284530728243,-0.0239340051479212,3.84617440519504,-1.69234881039009,97.086242828238,58.4022943300631
"88",2,30,88,-0.606779504901582,-4.95041340874284,-0.179440191820830,4.1499047221766,-2.29980944435320,191.306893606107,58.4022943300631
